Filename;ActivityName;Location;ReferenceProduct
a6d54afd-7837-5d66-ab63-3d8f9d8c82b5_45b3791f-0b00-4600-9c07-3aafb1f29663.spold;fuel cell production, polymer electrolyte membrane, 2kW electrical, future;CH;fuel cell, polymer electrolyte membrane, 2kW electrical, future
957c77c9-56a2-514b-9482-a4841caec81d_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;ME;electricity, medium voltage
f43cd7c0-d7ae-522f-b52d-2a21481f02af_855dbb71-f4e8-4819-ae28-aa2913c0939d.spold;market for photovoltaic laminate, multi-Si wafer;GLO;photovoltaic laminate, multi-Si wafer
88a7bb3a-bece-5556-9e9f-5b32bb4fe692_b2c6db8a-b305-4413-a9c3-5460417f48de.spold;aluminium oxide production;IAI Area, Asia, without China and GCC;aluminium oxide, metallurgical
c54f5749-e114-51b6-953a-b18288dcb109_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of spent antifreezer liquid, hazardous waste incineration, with energy recovery;CH;heat, district or industrial, other than natural gas
0ed9de97-5e6e-5a5e-815b-3958399facad_a300dfb2-454a-4bb1-aabc-257cc84994c3.spold;natural gas liquids fractionation;GLO;pentane
14a7972a-3107-5e8b-8b0c-7b0018550371_14bf310d-069a-4d84-a98e-da3a7b1a6cde.spold;nuclear power plant construction, pressure water reactor, 1000MW;CH;nuclear power plant, pressure water reactor, 1000MW
a52efbd3-aa94-5380-a43a-fd77a2493ad4_edc19281-8c61-498e-a230-ccc8e3f10f08.spold;market for finishing, textile, woven cotton;GLO;finishing, textile, woven cotton
63219386-3549-54ea-9c46-56003a14619b_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, annual cropland to annual crop;RU;land tenure, arable land, measured as carbon net primary productivity, annual crop
68e51c8d-2263-5890-a899-2dd6a19a4564_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, perennial cropland to perennial crop;ES;land tenure, arable land, measured as carbon net primary productivity, perennial crop
3250f6a8-3db8-55d0-9051-a99e6a83facd_fb8ade8c-e39e-4733-88be-1357e3c8d52c.spold;treatment of used exhaust air roof hood, steel, DN 400;CH;used exhaust air roof hood steel, DN 400
7bd55eb1-2b0d-5d67-86f3-6f7e4f2aee69_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;nutrient supply from urea ammonium nitrate mix;RNA;inorganic nitrogen fertiliser, as N
fb70577f-7f9f-5f26-9681-c84b15aa7c30_66c93e71-f32b-4591-901c-55395db5c132.spold;market group for electricity, high voltage;Europe without Switzerland;electricity, high voltage
f93619f9-c8e0-5343-948a-eb87a3989065_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of blast furnace gas, in power plant;CN-FJ;electricity, high voltage
02bdd159-f3e5-5612-885a-e0f03e664d87_795369c8-09eb-439f-9321-15c0d3be6a6f.spold;market for synthetic gas;RoW;synthetic gas
1e8725cf-dcec-57df-9cf4-ab5e90c80344_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;IN;land use change, annual crop
a7bcd115-496e-5c65-9f72-0442a3b817a9_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;BR-North-eastern grid;electricity, high voltage
93ada360-56e7-5408-8325-e360866d535c_7afb71aa-116b-48d0-9f41-64ef1c95c831.spold;ventilation system production, central, 1 x 720 m3/h, polyethylene ducts, with earth tube heat exchanger;RoW;ventilation system, central, 1 x 720 m3/h, polyethylene ducts, with earth tube heat exchanger
cd943f96-67e1-5749-b0a5-3fbcdecc66a2_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;PT;electricity, low voltage
5fba0457-5269-578c-bc3b-241f0b278a11_67524136-3b4b-4adc-b2ba-fa9a35e3c6af.spold;treatment of bottom ash, MSWI[F], spent cation exchange resin from potable water production, slag compartment;CH;bottom ash, MSWI[F], spent cation exchange resin from potable water production
0e4e3150-de2c-5586-b4d8-872bbac97c19_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from DZ;TN;electricity, high voltage
bf93a4b4-f2b7-5689-927a-fd3aa89c343c_aa0d7c65-0f57-49ed-a01e-01f2b4bc4ac4.spold;impact extrusion of aluminium, 4 strokes;RER;impact extrusion of aluminium, 4 strokes
273422cc-3276-5753-8039-2aaca294b7f5_0e9aeb91-fcd9-4e80-9952-878268e885cf.spold;lorry production, with refrigeration machine, carbon dioxide, liquid as refrigerant, 16 metric ton;GLO;lorry with refrigeration machine, carbon dioxide, liquid as refrigerant, 16 metric ton
33520071-a2c5-5064-ae6b-d4d9cf8f803a_8ce43403-7001-41ac-98ae-56126ab71e6d.spold;market for sewage sludge, 75% water, WWT, WW from ammonium paratungstate production;CN;sewage sludge, 75% water, WWT, WW from ammonium paratungstate production
b9908517-ccbb-5bb5-a2a8-d56c3970341b_43918f35-ec6f-4054-898b-c381aa071e93.spold;kraft paper production;RoW;turpentine
855710e7-3186-5029-ac6a-b5beca927002_9891d347-28f8-434d-896a-84a19a4c68a6.spold;lemon production;RoW;lemon
0a5a6476-6d97-55e9-87f2-96c435b9186f_fb8ade8c-e39e-4733-88be-1357e3c8d52c.spold;market for used exhaust air roof hood steel, DN 400;RoW;used exhaust air roof hood steel, DN 400
1b3e563e-96ab-5139-b736-cef7485c3010_0986e781-f70c-4d70-973f-23b806bb5c30.spold;chromium steel turning, primarily roughing, computer numerical controlled;RER;chromium steel removed by turning, primarily roughing, computer numerical controlled
37bd379e-ff28-5720-925e-6916d679a919_8b790fe4-8824-4e26-8615-2154b94ad8fb.spold;transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, carbon dioxide, liquid refrigerant, cooling;GLO;transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, carbon dioxide, liquid refrigerant, cooling
fa05de4f-eee4-521f-96bc-4dab24cf3aca_151b224c-4c4c-405c-bef5-bc7136084e39.spold;market for controller, for electric scooter;GLO;controller, for electric scooter
a3b9e786-da02-5b6c-94d4-3b3514de13e9_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;market for inorganic nitrogen fertiliser, as N;EE;inorganic nitrogen fertiliser, as N
994a7b4f-f39a-5352-ac5e-4756af62e812_6f6b2d00-cae7-4151-a734-75841dc71059.spold;treatment of residues, MSWI[F]-WWT, WW, average, residual material landfill;CH;residues, MSWI[F]-WWT, WW, average
6498bd28-64e4-5825-b6ac-656ee501445e_4ebb2775-2992-43f5-8cc3-053982b40822.spold;sawing, hardwood;Europe without Switzerland;sawnwood, hardwood, raw
59861cc5-054e-505a-9e14-911773fdd467_6296905b-1bc0-4b4d-99cd-d768ef341a6c.spold;treatment of high level radioactive waste for final repository;RoW;high level radioactive waste for final repository
f354690d-0829-538e-8f90-dc3061614d76_1f334d27-bf0b-4aba-a5e9-8151bd7ef931.spold;treatment of residues, MSWI, waste cement-fibre slab, dismantled, residual material landfill;GLO;residues, MSWI, waste cement-fibre slab, dismantled
c6e78648-9657-570b-90d6-01570961310d_68e64673-7c91-4025-af50-31317791caf7.spold;drawing of pipe, steel;RoW;drawing of pipe, steel
3dda32ec-17de-51e8-86c8-2c793efcc5a0_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-SD;electricity, high voltage
04d9e339-2880-55e6-8e2f-74a9506a1f6c_318bc688-5b2f-56fa-8bab-3c071c0f52bb.spold;treatment of sewage sludge, 97% water, WWT, WW from concrete production, landfarming;CH;organic potassium fertiliser, as K2O
ce696c4a-728d-5558-a228-8a50046cef7d_a498d9fb-9402-4374-b2e2-3f85f5d98f43.spold;market for ammonium nitrate;CN;ammonium nitrate
60edb4d1-9193-52d8-a39c-d92aa8577db8_28a57559-b4f7-47f3-8576-175a4682542d.spold;epoxy resin insulator, SiO2 production;RER;epoxy resin insulator, SiO2
55c8343d-4b33-5fd0-8b47-ee588db28387_c5651546-a49e-4c1d-b856-1cf358ab466a.spold;planing, board, hardwood, u=20%;CH;shavings, hardwood, loose, measured as dry mass
9e5f8224-9080-5102-b00b-79c16bb2534d_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, lignite;RoW;heat, district or industrial, other than natural gas
3d059f84-ff64-5a44-9bfa-0147b653bf22_532f6fb4-6fd1-5af1-bb24-7259f6bec409.spold;market for basic oxygen furnace sludge, for recovery;RoW;basic oxygen furnace sludge, for recovery
a4fbaff2-cc43-5494-b535-1d77cb4ee55a_a459eea1-4e62-4daf-9135-1aea9805aa90.spold;small pelagic fish to generic market for marine fish;GLO;marine fish
0ebd6681-5ef8-5477-ae58-b647690cb2a9_32989831-ac49-4775-bf0e-0c732b547120.spold;treatment of leachate, SLF, sludge from pulp and paper production, wastewater treatment;CH;leachate, SLF, sludge from pulp and paper production
ba9546b6-e125-5cf1-b8e0-186ba3a80575_d8e28290-070a-5c59-becf-e7c25f7c7f2c.spold;market for polyethylene terephthalate, granulate, amorphous, recycled;US;polyethylene terephthalate, granulate, amorphous, recycled
00ee426e-d557-5c9a-8acd-20ec69b0a2fb_69164e77-5f8e-4ee0-be80-13a933def7c2.spold;planing, beam, softwood, u=20%;CH;sawnwood, beam, softwood, dried (u=20%), planed
0f87a4f8-b9af-59ce-a7e2-3de4d5a6869f_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-TRE;electricity, low voltage
bb8daa7d-588e-57f7-9753-acdb8a4130fe_d0ecfe06-9a51-4bf0-95c5-7e91e84539bb.spold;treatment of lignite ash, municipal incineration;GLO;lignite ash
4790dcf3-9b2b-5e54-b34d-e1b2761787b7_9e2fbebe-7357-4057-b7c6-3c4d7cfa5285.spold;uranium production, centrifuge, enriched 3.9%;RoW;uranium, enriched 3.9%, per separative work unit
95415b1d-10aa-5d9a-a67d-1ae0147ded10_fd71fda7-6bc6-4020-bfd7-205ef2b560aa.spold;pyridazine-compound production;RoW;pyridazine-compound
061c77fd-36c3-5896-ac3f-5a54c48e0602_4309fd1b-7875-491c-b158-65d8f5e2c663.spold;transport, passenger car, large size, petrol, EURO 3;RER;transport, passenger car, large size, petrol, EURO 3
dfea754d-b2bc-53f3-9286-fe8b44849eaa_87967b5e-0e94-44b6-b9e0-328c747bd329.spold;market for heat and power co-generation unit, 200kW electrical, diesel SCR, components for heat only;GLO;heat and power co-generation unit, 200kW electrical, diesel SCR, components for heat only
02d9abb2-bf75-545e-93f0-e2ca88ab56ae_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation, residual mix, from high to medium voltage;SE;electricity, medium voltage
4f81c036-d238-5081-a74d-57dcb0ada796_ed25f589-c6c8-56a7-a518-b01dd3e8a453.spold;treatment of waste polyethylene, for recycling, unsorted, sorting;US;waste polyethylene, for recycling, sorted
